customer_id,name,signup_date,segment,region,plan_type,status,email,tenure_days,signup_month,signup_cohort,total_revenue,total_invoices,latest_invoice_date,total_tickets,avg_satisfaction_score,total_usage_count,distinct_features_used,last_product_access_date,days_since_last_access,churn_date,churn_reason,churn_risk_score,risk_tier
CUST_00208,Zachary Brooks,2022-01-24,SMB,South,Basic,Active,florescory@example.net,1595,2022-01,2022-Q1,2906.93,30,2024-06-01,3.0,2.6666666666666665,5.0,1.0,2024-04-24,774.0,,,65.0,High
CUST_07973,Kimberly Davidson,2022-03-20,SMB,South,Basic,Active,nathan35@example.org,1540,2022-03,2022-Q1,2560.81,28,2024-06-01,6.0,4.0,7.0,1.0,2023-11-23,927.0,,,65.0,High
CUST_07005,Steven Copeland,2022-06-10,Mid-Market,East,Basic,Active,laurenrobertson@example.com,1458,2022-06,2022-Q2,2427.8,25,2024-06-01,6.0,2.8,18.0,1.0,2024-01-16,873.0,,,60.0,High
CUST_09871,Samuel Roberts,2021-08-18,SMB,West,Enterprise,Active,grantsteven@example.com,1754,2021-08,2021-Q3,33140.78,35,2024-06-01,2.0,2.5,0.0,0.0,,,,,55.0,High
CUST_02355,Caleb Jensen,2021-10-31,Mid-Market,East,Enterprise,Active,kfrye@example.net,1680,2021-10,2021-Q4,32649.24,33,2024-06-01,6.0,3.5,0.0,0.0,,,,,55.0,High
CUST_07097,Nicole Mccormick,2023-02-24,SMB,East,Enterprise,Active,katelynsalazar@example.org,1199,2023-02,2023-Q1,16715.95,17,2024-06-01,7.0,3.142857142857143,0.0,0.0,,,,,55.0,High
CUST_03498,Kenneth Clark,2024-05-03,Mid-Market,South,Enterprise,Active,megan59@example.com,765,2024-05,2024-Q2,1857.22,2,2024-06-01,2.0,2.5,0.0,0.0,,,,,55.0,High
CUST_05025,Darlene Galloway,2023-07-30,SMB,South,Enterprise,Active,kevinwagner@example.org,1043,2023-07,2023-Q3,10789.17,12,2024-06-01,7.0,2.833333333333333,31.0,1.0,2023-05-02,1132.0,,,50.0,High
CUST_03108,George Hall,2021-03-04,Mid-Market,West,Basic,Active,bholder@example.net,1921,2021-03,2021-Q1,3985.17,40,2024-06-01,3.0,3.333333333333333,0.0,0.0,,,,,50.0,High
CUST_02351,Christopher Hall,2021-02-23,Enterprise,East,Basic,Active,kramirez@example.net,1930,2021-02,2021-Q1,3943.12,41,2024-06-01,3.0,3.6666666666666665,7.0,1.0,2024-02-09,849.0,,,50.0,High
CUST_08996,Tammy Oneal,2021-03-15,Mid-Market,West,Basic,Active,egamble@example.com,1910,2021-03,2021-Q1,3937.98,40,2024-06-01,4.0,3.6666666666666665,9.0,1.0,2024-05-21,747.0,,,50.0,High
CUST_09601,Shane Smith,2021-01-04,Mid-Market,South,Basic,Active,kellyskinner@example.net,1980,2021-01,2021-Q1,3862.23,42,2024-06-01,3.0,4.333333333333333,8.0,1.0,2023-02-26,1197.0,,,50.0,High
CUST_03033,Krystal Thompson,2021-03-28,SMB,East,Basic,Active,blakejackson@example.net,1897,2021-03,2021-Q1,3849.05,40,2024-06-01,2.0,4.0,7.0,1.0,2023-10-15,966.0,,,50.0,High
CUST_07027,Joseph Anderson,2021-06-14,SMB,South,Basic,Active,bmolina@example.net,1819,2021-06,2021-Q2,3794.04,37,2024-06-01,2.0,3.5,5.0,1.0,2023-11-06,944.0,,,50.0,High
CUST_06796,Patricia Gutierrez,2021-03-02,Enterprise,West,Basic,Active,michelle11@example.com,1923,2021-03,2021-Q1,3786.66,40,2024-06-01,1.0,,9.0,1.0,2023-08-06,1036.0,,,50.0,High
CUST_02536,Abigail Kemp,2021-02-26,SMB,South,Basic,Active,susan75@example.net,1927,2021-02,2021-Q1,3774.52,41,2024-06-01,3.0,3.6666666666666665,9.0,1.0,2024-01-17,872.0,,,50.0,High
