customer_id,name,signup_date,segment,region,plan_type,status,email,tenure_days,signup_month,signup_cohort,total_revenue,total_invoices,latest_invoice_date,total_tickets,avg_satisfaction_score,total_usage_count,distinct_features_used,last_product_access_date,days_since_last_access,churn_date,churn_reason,churn_risk_score
CUST_00001,Allison Hill,2022-04-03,SMB,South,Basic,Churned,donaldgarcia@example.net,1526,2022-04,2022-Q2,2555.05,27,2024-06-01,2.0,3.0,84.0,4.0,2024-04-29,769.0,2024-06-23,Price,
CUST_00002,Angie Henderson,2024-04-24,Enterprise,East,Pro,Active,davisjesse@example.net,774,2024-04,2024-Q2,854.46,3,2024-06-01,5.0,3.8,68.0,3.0,2024-04-22,776.0,,,20.0
CUST_00003,Cristian Santos,2021-02-24,Enterprise,East,Basic,Active,lrobinson@example.com,1929,2021-02,2021-Q1,3951.33,41,2024-06-01,0.0,,18.0,1.0,2024-01-04,885.0,,,30.0
CUST_00004,Abigail Shaffer,2023-07-09,SMB,South,Pro,Active,jpeterson@example.org,1064,2023-07,2023-Q3,3372.63,12,2024-06-01,3.0,3.6666666666666665,131.0,6.0,2024-04-18,780.0,,,20.0
CUST_00005,Gabrielle Davis,2023-05-16,SMB,West,Basic,Active,howardmaurice@example.com,1118,2023-05,2023-Q2,1337.58,14,2024-06-01,2.0,4.0,35.0,4.0,2023-12-06,914.0,,,30.0
CUST_00006,Monica Herrera,2021-07-09,Mid-Market,South,Enterprise,Active,smiller@example.net,1794,2021-07,2021-Q3,34980.51,36,2024-06-01,0.0,,269.0,4.0,2024-04-03,795.0,,,20.0
CUST_00007,Shannon Ray,2021-03-30,Mid-Market,South,Basic,Active,williamsjeremy@example.com,1895,2021-03,2021-Q1,3813.67,40,2024-06-01,2.0,3.5,24.0,3.0,2024-02-24,834.0,,,30.0
CUST_00008,Dr. Sharon James,2024-02-05,SMB,South,Enterprise,Churned,xreid@example.org,853,2024-02,2024-Q1,5115.21,5,2024-06-01,1.0,,206.0,5.0,2024-02-26,832.0,2024-06-05,Competitor,
CUST_00009,Daniel Adams,2022-01-29,SMB,South,Enterprise,Active,lynchgeorge@example.net,1590,2022-01,2022-Q1,29167.54,30,2024-06-01,4.0,3.75,127.0,3.0,2024-01-08,881.0,,,20.0
CUST_00010,Joel Nelson,2021-06-13,Enterprise,South,Basic,Active,gabriellecameron@example.org,1820,2021-06,2021-Q2,3665.22,37,2024-06-01,0.0,,36.0,4.0,2024-05-29,739.0,,,30.0
CUST_00011,Andrew Stewart,2023-01-18,SMB,East,Basic,Churned,carl95@example.org,1236,2023-01,2023-Q1,1842.9,18,2024-06-01,1.0,3.0,26.0,3.0,2024-02-14,844.0,2024-06-04,Product Gap,
CUST_00012,Jennifer Rocha,2021-05-27,Mid-Market,West,Pro,Active,ithomas@example.org,1837,2021-05,2021-Q2,10849.9,38,2024-06-01,2.0,4.0,60.0,3.0,2024-02-05,853.0,,,20.0
CUST_00013,Kimberly Burgess,2023-02-17,Mid-Market,North,Pro,Active,zhurst@example.com,1206,2023-02,2023-Q1,4805.58,17,2024-06-01,2.0,3.5,110.0,5.0,2024-03-18,811.0,,,20.0
CUST_00014,Zachary Hicks,2022-10-27,SMB,North,Pro,Active,camposmichelle@example.org,1319,2022-10,2022-Q4,5966.34,21,2024-06-01,3.0,3.6666666666666665,84.0,3.0,2024-04-14,784.0,,,20.0
CUST_00015,Rebecca Henderson,2022-10-09,SMB,North,Basic,Active,cruzcaitlin@example.com,1337,2022-10,2022-Q4,2110.06,21,2024-06-01,3.0,3.3333333333333335,37.0,3.0,2023-10-26,955.0,,,30.0
CUST_00016,Tricia Valencia,2022-10-07,Enterprise,East,Enterprise,Active,frazierdanny@example.net,1339,2022-10,2022-Q4,19812.8,21,2024-06-01,3.0,4.333333333333333,96.0,2.0,2023-10-03,978.0,,,20.0
CUST_00017,Patricia Peterson,2021-10-20,SMB,East,Enterprise,Churned,ryan70@example.net,1691,2021-10,2021-Q4,32195.16,33,2024-06-01,1.0,4.0,205.0,4.0,2024-04-26,772.0,2024-06-13,Product Gap,
CUST_00018,Deborah Mason,2024-04-12,Mid-Market,South,Pro,Active,williamrodriguez@example.net,786,2024-04,2024-Q2,899.96,3,2024-06-01,2.0,4.0,193.0,4.0,2024-05-31,737.0,,,20.0
CUST_00019,Mark Lynch,2021-10-11,SMB,International,Basic,Active,nathanielmartin@example.net,1700,2021-10,2021-Q4,3049.54,33,2024-06-01,3.0,4.333333333333333,40.0,4.0,2024-05-27,741.0,,,30.0
CUST_00020,Linda Burns,2021-11-24,Enterprise,North,Basic,Active,hickmannatasha@example.com,1656,2021-11,2021-Q4,3188.21,32,2024-06-01,2.0,4.0,82.0,5.0,2024-03-15,814.0,,,30.0
CUST_00021,David Bradley,2023-08-17,Mid-Market,South,Basic,Active,millertodd@example.org,1025,2023-08,2023-Q3,1056.8,11,2024-06-01,1.0,4.0,96.0,5.0,2024-05-29,739.0,,,30.0
CUST_00022,Kim Martinez,2021-08-23,SMB,North,Enterprise,Active,karroyo@example.com,1749,2021-08,2021-Q3,36590.45,35,2024-06-01,2.0,3.5,326.0,5.0,2024-05-05,763.0,,,20.0
CUST_00023,Lisa Brandt,2021-08-17,SMB,East,Basic,Churned,jenniferross@example.net,1755,2021-08,2021-Q3,3395.52,35,2024-06-01,0.0,,62.0,4.0,2024-03-09,820.0,2024-06-21,Support Issues,
CUST_00024,Jessica Holmes,2022-06-24,Mid-Market,West,Basic,Active,wrightcaleb@example.org,1444,2022-06,2022-Q2,2238.87,25,2024-06-01,2.0,4.0,53.0,4.0,2024-04-22,776.0,,,30.0
CUST_00025,Crystal Robinson,2022-09-04,SMB,North,Pro,Active,zimmermanbrian@example.org,1372,2022-09,2022-Q3,6574.82,22,2024-06-01,2.0,4.0,48.0,2.0,2023-10-20,961.0,,,20.0
CUST_00026,Shannon Jones,2021-11-27,SMB,South,Basic,Active,joshuawashington@example.net,1653,2021-11,2021-Q4,3139.84,32,2024-06-01,4.0,4.0,57.0,4.0,2024-04-11,787.0,,,30.0
CUST_00027,Timothy Duncan,2022-10-26,SMB,North,Pro,Active,esanchez@example.com,1320,2022-10,2022-Q4,6681.33,21,2024-06-01,3.0,4.0,78.0,4.0,2023-10-28,953.0,,,20.0
CUST_00028,Brent Jordan,2022-09-22,Enterprise,International,Basic,Active,ujenkins@example.org,1354,2022-09,2022-Q3,2086.21,22,2024-06-01,3.0,3.0,38.0,4.0,2023-12-20,900.0,,,30.0
CUST_00029,Victoria Garcia,2023-09-23,Mid-Market,North,Pro,Active,zchandler@example.org,988,2023-09,2023-Q3,2817.34,10,2024-06-01,1.0,5.0,129.0,4.0,2024-05-15,753.0,,,20.0
CUST_00030,Connor West,2023-09-01,SMB,North,Pro,Active,dwhite@example.org,1010,2023-09,2023-Q3,2931.36,10,2024-06-01,3.0,3.6666666666666665,76.0,4.0,2024-04-05,793.0,,,20.0
CUST_00031,Angela Morton,2022-03-10,Mid-Market,East,Pro,Active,williamsyvette@example.org,1550,2022-03,2022-Q1,8030.29,28,2024-06-01,2.0,4.0,160.0,4.0,2024-04-03,795.0,,,20.0
