customer_id,name,signup_date,segment,region,plan_type,status,email,tenure_days,signup_month,signup_cohort
CUST_00001,Allison Hill,2022-04-03,SMB,South,Basic,Churned,donaldgarcia@example.net,1526,2022-04,2022-Q2
CUST_00002,Angie Henderson,2024-04-24,Enterprise,East,Pro,Active,davisjesse@example.net,774,2024-04,2024-Q2
CUST_00003,Cristian Santos,2021-02-24,Enterprise,East,Basic,Active,lrobinson@example.com,1929,2021-02,2021-Q1
CUST_00004,Abigail Shaffer,2023-07-09,SMB,South,Pro,Active,jpeterson@example.org,1064,2023-07,2023-Q3
CUST_00005,Gabrielle Davis,2023-05-16,SMB,West,Basic,Active,howardmaurice@example.com,1118,2023-05,2023-Q2
CUST_00006,Monica Herrera,2021-07-09,Mid-Market,South,Enterprise,Active,smiller@example.net,1794,2021-07,2021-Q3
CUST_00007,Shannon Ray,2021-03-30,Mid-Market,South,Basic,Active,williamsjeremy@example.com,1895,2021-03,2021-Q1
CUST_00008,Dr. Sharon James,2024-02-05,SMB,South,Enterprise,Churned,xreid@example.org,853,2024-02,2024-Q1
CUST_00009,Daniel Adams,2022-01-29,SMB,South,Enterprise,Active,lynchgeorge@example.net,1590,2022-01,2022-Q1
CUST_00010,Joel Nelson,2021-06-13,Enterprise,South,Basic,Active,gabriellecameron@example.org,1820,2021-06,2021-Q2
CUST_00011,Andrew Stewart,2023-01-18,SMB,East,Basic,Churned,carl95@example.org,1236,2023-01,2023-Q1
CUST_00012,Jennifer Rocha,2021-05-27,Mid-Market,West,Pro,Active,ithomas@example.org,1837,2021-05,2021-Q2
CUST_00013,Kimberly Burgess,2023-02-17,Mid-Market,North,Pro,Active,zhurst@example.com,1206,2023-02,2023-Q1
CUST_00014,Zachary Hicks,2022-10-27,SMB,North,Pro,Active,camposmichelle@example.org,1319,2022-10,2022-Q4
CUST_00015,Rebecca Henderson,2022-10-09,SMB,North,Basic,Active,cruzcaitlin@example.com,1337,2022-10,2022-Q4
CUST_00016,Tricia Valencia,2022-10-07,Enterprise,East,Enterprise,Active,frazierdanny@example.net,1339,2022-10,2022-Q4
CUST_00017,Patricia Peterson,2021-10-20,SMB,East,Enterprise,Churned,ryan70@example.net,1691,2021-10,2021-Q4
CUST_00018,Deborah Mason,2024-04-12,Mid-Market,South,Pro,Active,williamrodriguez@example.net,786,2024-04,2024-Q2
CUST_00019,Mark Lynch,2021-10-11,SMB,International,Basic,Active,nathanielmartin@example.net,1700,2021-10,2021-Q4
CUST_00020,Linda Burns,2021-11-24,Enterprise,North,Basic,Active,hickmannatasha@example.com,1656,2021-11,2021-Q4
CUST_00021,David Bradley,2023-08-17,Mid-Market,South,Basic,Active,millertodd@example.org,1025,2023-08,2023-Q3
CUST_00022,Kim Martinez,2021-08-23,SMB,North,Enterprise,Active,karroyo@example.com,1749,2021-08,2021-Q3
CUST_00023,Lisa Brandt,2021-08-17,SMB,East,Basic,Churned,jenniferross@example.net,1755,2021-08,2021-Q3
CUST_00024,Jessica Holmes,2022-06-24,Mid-Market,West,Basic,Active,wrightcaleb@example.org,1444,2022-06,2022-Q2
CUST_00025,Crystal Robinson,2022-09-04,SMB,North,Pro,Active,zimmermanbrian@example.org,1372,2022-09,2022-Q3
CUST_00026,Shannon Jones,2021-11-27,SMB,South,Basic,Active,joshuawashington@example.net,1653,2021-11,2021-Q4
CUST_00027,Timothy Duncan,2022-10-26,SMB,North,Pro,Active,esanchez@example.com,1320,2022-10,2022-Q4
CUST_00028,Brent Jordan,2022-09-22,Enterprise,International,Basic,Active,ujenkins@example.org,1354,2022-09,2022-Q3
CUST_00029,Victoria Garcia,2023-09-23,Mid-Market,North,Pro,Active,zchandler@example.org,988,2023-09,2023-Q3
CUST_00030,Connor West,2023-09-01,SMB,North,Pro,Active,dwhite@example.org,1010,2023-09,2023-Q3
CUST_00031,Angela Morton,2022-03-10,Mid-Market,East,Pro,Active,williamsyvette@example.org,1550,2022-03,2022-Q1
CUST_00032,Tammy Allison,2023-03-29,SMB,West,Pro,Active,richardolson@example.com,1166,2023-03,2023-Q1
CUST_00033,Carmen Smith,2021-09-05,SMB,East,Pro,Churned,ybaker@example.com,1736,2021-09,2021-Q3
CUST_00034,Michael Cross,2024-04-20,Enterprise,East,Basic,Active,smoore@example.org,778,2024-04,2024-Q2
CUST_00035,Lauren Daniels,2021-03-06,Enterprise,North,Pro,Active,brian97@example.net,1919,2021-03,2021-Q1
CUST_00036,Kim Brown,2022-03-15,Enterprise,West,Basic,Active,yorkcasey@example.org,1545,2022-03,2022-Q1
CUST_00037,Cynthia Wilson,2022-05-13,SMB,East,Enterprise,Active,bethwilliams@example.org,1486,2022-05,2022-Q2
CUST_00038,Kevin Mills,2023-06-02,SMB,North,Basic,Active,james53@example.com,1101,2023-06,2023-Q2
CUST_00039,Michael Evans,2021-07-21,Mid-Market,North,Enterprise,Churned,sarah10@example.com,1782,2021-07,2021-Q3
CUST_00040,Kristine Garcia,2022-01-28,SMB,North,Enterprise,Churned,williamanderson@example.com,1591,2022-01,2022-Q1
CUST_00041,Sherry Wood,2022-05-27,Mid-Market,South,Pro,Active,samueldaniels@example.com,1472,2022-05,2022-Q2
CUST_00042,Victoria Valdez,2021-07-20,Enterprise,International,Enterprise,Churned,contrerasangela@example.net,1783,2021-07,2021-Q3
CUST_00043,Shawn Baker,2022-04-30,SMB,International,Enterprise,Churned,newtoneric@example.com,1499,2022-04,2022-Q2
CUST_00044,Michelle Harris,2021-05-01,SMB,South,Basic,Churned,william40@example.org,1863,2021-05,2021-Q2
CUST_00045,Sandra Williams,2023-07-21,Enterprise,International,Basic,Active,kellie42@example.net,1052,2023-07,2023-Q3
CUST_00046,Michael Hoffman,2023-09-24,SMB,West,Pro,Churned,jonesnicole@example.org,987,2023-09,2023-Q3
CUST_00047,Sandra Aguilar,2024-01-16,Mid-Market,East,Enterprise,Churned,russellwilliams@example.com,873,2024-01,2024-Q1
CUST_00048,Rebecca Valencia,2023-12-24,Mid-Market,East,Basic,Churned,jason31@example.com,896,2023-12,2023-Q4
CUST_00049,Stacey Russell,2024-05-03,SMB,North,Basic,Churned,sarayoung@example.org,765,2024-05,2024-Q2
CUST_00050,Rita Keith,2024-03-12,SMB,International,Pro,Churned,whitesandra@example.com,817,2024-03,2024-Q1
CUST_00051,Sharon Cochran,2024-04-10,SMB,South,Pro,Active,erik16@example.org,788,2024-04,2024-Q2
CUST_00052,Courtney Velasquez,2022-10-06,Mid-Market,West,Basic,Active,ybailey@example.org,1340,2022-10,2022-Q4
CUST_00053,Matthew Ross,2022-10-10,Mid-Market,South,Pro,Active,michelle45@example.net,1336,2022-10,2022-Q4
CUST_00054,Meghan Anthony,2024-02-28,SMB,East,Basic,Active,sheila14@example.org,830,2024-02,2024-Q1
CUST_00055,Victoria Johnson,2022-12-16,Enterprise,South,Basic,Active,yreed@example.com,1269,2022-12,2022-Q4
CUST_00056,William Wilson,2024-01-18,SMB,North,Basic,Active,jonathanfletcher@example.org,871,2024-01,2024-Q1
CUST_00057,Renee Mcdaniel,2021-01-17,SMB,West,Enterprise,Active,michaeljones@example.net,1967,2021-01,2021-Q1
CUST_00058,Lisa Alvarado,2021-10-03,SMB,North,Enterprise,Churned,cortezkevin@example.com,1708,2021-10,2021-Q4
CUST_00059,Erika Terry,2022-08-01,SMB,North,Pro,Active,jamesortega@example.com,1406,2022-08,2022-Q3
