customer_id,name,signup_date,segment,region,plan_type,status,email
CUST_00001,Allison Hill,2022-04-03,SMB,South,Basic,Churned,donaldgarcia@example.net
CUST_00002,Angie Henderson,2024-04-24,Enterprise,East,Pro,Active,davisjesse@example.net
CUST_00003,Cristian Santos,2021-02-24,Enterprise,East,Basic,Active,lrobinson@example.com
CUST_00004,Abigail Shaffer,2023-07-09,SMB,South,Pro,Active,jpeterson@example.org
CUST_00005,Gabrielle Davis,2023-05-16,SMB,West,Basic,Active,howardmaurice@example.com
CUST_00006,Monica Herrera,2021-07-09,Mid-Market,South,Enterprise,Active,smiller@example.net
CUST_00007,Shannon Ray,2021-03-30,Mid-Market,South,Basic,Active,williamsjeremy@example.com
CUST_00008,Dr. Sharon James,2024-02-05,SMB,South,Enterprise,Churned,xreid@example.org
CUST_00009,Daniel Adams,2022-01-29,SMB,South,Enterprise,Active,lynchgeorge@example.net
CUST_00010,Joel Nelson,2021-06-13,Enterprise,South,Basic,Active,gabriellecameron@example.org
CUST_00011,Andrew Stewart,2023-01-18,SMB,East,Basic,Churned,carl95@example.org
CUST_00012,Jennifer Rocha,2021-05-27,Mid-Market,West,Pro,Active,ithomas@example.org
CUST_00013,Kimberly Burgess,2023-02-17,Mid-Market,North,Pro,Active,zhurst@example.com
CUST_00014,Zachary Hicks,2022-10-27,SMB,North,Pro,Active,camposmichelle@example.org
CUST_00015,Rebecca Henderson,2022-10-09,SMB,North,Basic,Active,cruzcaitlin@example.com
CUST_00016,Tricia Valencia,2022-10-07,Enterprise,East,Enterprise,Active,frazierdanny@example.net
CUST_00017,Patricia Peterson,2021-10-20,SMB,East,Enterprise,Churned,ryan70@example.net
CUST_00018,Deborah Mason,2024-04-12,Mid-Market,South,Pro,Active,williamrodriguez@example.net
CUST_00019,Mark Lynch,2021-10-11,SMB,International,Basic,Active,nathanielmartin@example.net
CUST_00020,Linda Burns,2021-11-24,Enterprise,North,Basic,Active,hickmannatasha@example.com
CUST_00021,David Bradley,2023-08-17,Mid-Market,South,Basic,Active,millertodd@example.org
CUST_00022,Kim Martinez,2021-08-23,SMB,North,Enterprise,Active,karroyo@example.com
CUST_00023,Lisa Brandt,2021-08-17,SMB,East,Basic,Churned,jenniferross@example.net
CUST_00024,Jessica Holmes,2022-06-24,Mid-Market,West,Basic,Active,wrightcaleb@example.org
CUST_00025,Crystal Robinson,2022-09-04,SMB,North,Pro,Active,zimmermanbrian@example.org
CUST_00026,Shannon Jones,2021-11-27,SMB,South,Basic,Active,joshuawashington@example.net
CUST_00027,Timothy Duncan,2022-10-26,SMB,North,Pro,Active,esanchez@example.com
CUST_00028,Brent Jordan,2022-09-22,Enterprise,International,Basic,Active,ujenkins@example.org
CUST_00029,Victoria Garcia,2023-09-23,Mid-Market,North,Pro,Active,zchandler@example.org
CUST_00030,Connor West,2023-09-01,SMB,North,Pro,Active,dwhite@example.org
CUST_00031,Angela Morton,2022-03-10,Mid-Market,East,Pro,Active,williamsyvette@example.org
CUST_00032,Tammy Allison,2023-03-29,SMB,West,Pro,Active,richardolson@example.com
CUST_00033,Carmen Smith,2021-09-05,SMB,East,Pro,Churned,ybaker@example.com
CUST_00034,Michael Cross,2024-04-20,Enterprise,East,Basic,Active,smoore@example.org
CUST_00035,Lauren Daniels,2021-03-06,Enterprise,North,Pro,Active,brian97@example.net
CUST_00036,Kim Brown,2022-03-15,Enterprise,West,Basic,Active,yorkcasey@example.org
CUST_00037,Cynthia Wilson,2022-05-13,SMB,East,Enterprise,Active,bethwilliams@example.org
CUST_00038,Kevin Mills,2023-06-02,SMB,North,Basic,Active,james53@example.com
CUST_00039,Michael Evans,2021-07-21,Mid-Market,North,Enterprise,Churned,sarah10@example.com
CUST_00040,Kristine Garcia,2022-01-28,SMB,North,Enterprise,Churned,williamanderson@example.com
CUST_00041,Sherry Wood,2022-05-27,Mid-Market,South,Pro,Active,samueldaniels@example.com
CUST_00042,Victoria Valdez,2021-07-20,Enterprise,International,Enterprise,Churned,contrerasangela@example.net
CUST_00043,Shawn Baker,2022-04-30,SMB,International,Enterprise,Churned,newtoneric@example.com
CUST_00044,Michelle Harris,2021-05-01,SMB,South,Basic,Churned,william40@example.org
CUST_00045,Sandra Williams,2023-07-21,Enterprise,International,Basic,Active,kellie42@example.net
CUST_00046,Michael Hoffman,2023-09-24,SMB,West,Pro,Churned,jonesnicole@example.org
CUST_00047,Sandra Aguilar,2024-01-16,Mid-Market,East,Enterprise,Churned,russellwilliams@example.com
